"Corr_int_SCL_cases.eps","Corr_int_SCL_cases.m1","Corr_int_SCL_cases.m2","Corr_int_SCL_cases.m3","Corr_int_SCL_cases.m4","Corr_int_SCL_cases.m5","Corr_int_SCL_cases.m6","Corr_int_CL_cases.eps","Corr_int_CL_cases.m1","Corr_int_CL_cases.m2","Corr_int_CL_cases.m3","Corr_int_CL_cases.m4","Corr_int_CL_cases.m5","Corr_int_CL_cases.m6","Corr_int_SCL_cases_icovid.eps","Corr_int_SCL_cases_icovid.m1","Corr_int_SCL_cases_icovid.m2","Corr_int_SCL_cases_icovid.m3","Corr_int_SCL_cases_icovid.m4","Corr_int_SCL_cases_icovid.m5","Corr_int_SCL_cases_icovid.m6","Corr_int_SCL_deaths.eps","Corr_int_SCL_deaths.m1","Corr_int_SCL_deaths.m2","Corr_int_SCL_deaths.m3","Corr_int_SCL_deaths.m4","Corr_int_SCL_deaths.m5","Corr_int_SCL_deaths.m6","Corr_int_CL_deaths.eps","Corr_int_CL_deaths.m1","Corr_int_CL_deaths.m2","Corr_int_CL_deaths.m3","Corr_int_CL_deaths.m4","Corr_int_CL_deaths.m5","Corr_int_CL_deaths.m6"
0.0230128020452732,0.121463598642022,0.0436884880491067,0.0197867014162752,0.00874455608518226,0.00349782243407291,0.00154315695620863,0.0230129169586447,0.0651502980594428,0.0106540396567032,0.00143744979495201,0.00016911174058259,8.4555870291295e-05,4.22779351456475e-05,0.0230128020452732,0.128839076614252,0.0477751756440281,0.021378387420542,0.0092338574774172,0.00357979257276681,0.00157243225158916,0.023013419566743,0.0707268354327178,0.0157351922057804,0.00309812074517957,0.000774530186294892,0.000285353226529697,4.07647466470996e-05,0.0230129169586447,0.0683684131959994,0.0154127481713689,0.00332139125242574,0.000522466039707419,3.73190028362442e-05,0
0.024327686007451,0.12921367579987,0.0472206028599842,0.0222214601694043,0.0108020986934604,0.00445800898460272,0.00192037310105963,0.0243278155852691,0.0694203695091532,0.0119646556462182,0.00156428360038896,0.000211389675728237,8.4555870291295e-05,4.22779351456475e-05,0.024327686007451,0.136901973904316,0.0518568082970893,0.0242556038808966,0.0113750418200067,0.00455001672800268,0.00197390431582469,0.0243283823332301,0.0707268354327178,0.0183441359911948,0.00362806245159186,0.000815294932941992,0.000326117973176797,4.07647466470996e-05,0.0243278155852691,0.0726974175250037,0.0169055082848186,0.00391849529780564,0.000746380056724884,7.46380056724884e-05,0
0.025717698579808,0.138266863276294,0.0520558279894379,0.0247248036761428,0.0125853022873015,0.00606975069442063,0.00240046637632454,0.0257178441226912,0.0734367733479897,0.0134866613114615,0.00207161882213673,0.000422779351456475,0.00016911174058259,4.22779351456475e-05,0.025717698579808,0.146135831381733,0.0571428571428571,0.0271662763466042,0.0134158581465373,0.00625627300100368,0.0024757443961191,0.0257184806992849,0.0707268354327178,0.0222983164159635,0.00476947535771065,0.00110064815947169,0.000366882719823896,8.15294932941992e-05,0.0257178441226912,0.0769144648454993,0.0189207344379758,0.00462755635169428,0.00104493207941484,0.000149276011344977,0
0.0271871323906141,0.145674016666095,0.0574054387709612,0.0285998422550667,0.0150200610404307,0.00737286101299681,0.00325777579644045,0.0271872952999338,0.0775377330571175,0.0152623345875787,0.00245212023844755,0.000465057286602122,0.00016911174058259,4.22779351456475e-05,0.0271871323906141,0.153763800602208,0.0630980260956842,0.0317162930746069,0.0161592505854801,0.00762796922047507,0.00334560053529609,0.0271880078346198,0.0707268354327178,0.0222983164159635,0.00582935877053524,0.00150829562594268,0.000407647466470996,8.15294932941992e-05,0.0271872952999338,0.0809449171518137,0.0211598746081505,0.00518734139423795,0.00119420809075981,0.000223914017017465,3.73190028362442e-05
0.0287405253363187,0.153904187099208,0.0635780665957957,0.0331607283700833,0.0173862350399506,0.00898460272281472,0.004149377593361,0.0287407071214668,0.0829070308206147,0.0170802857988416,0.00283262165475838,0.00067644696233036,0.00016911174058259,4.22779351456475e-05,0.0287405253363187,0.16226162596186,0.0696219471395115,0.0369688859150217,0.0190030110404818,0.0095684175309468,0.00424891267982603,0.0287415022161828,0.0896009131303249,0.025804084627614,0.00652235946353593,0.00187517834576658,0.000529941706412295,0.000163058986588398,0.0287407071214668,0.0864308105687416,0.0234363337811614,0.0058217644424541,0.00138080310494104,0.000335871025526198,3.73190028362442e-05
0.0303826745954547,0.162305819416344,0.0704708343335277,0.0376530297314907,0.0201296251843215,0.0105277596790234,0.00552107266554645,0.0303828768816126,0.088149494778675,0.0195746839724348,0.00350906861708874,0.00084555870291295,0.000211389675728237,8.4555870291295e-05,0.0303826745954547,0.170993643358983,0.0771160923385748,0.04192037470726,0.022214787554366,0.0114419538307126,0.00572097691535631,0.0303837616447557,0.0896009131303249,0.0282092046797929,0.00880518527577351,0.00220129631894338,0.000611471199706494,0.000163058986588398,0.0303828768816126,0.0918047469771608,0.0267204060307509,0.0067547395133602,0.0016047171219585,0.000373190028362442,3.73190028362442e-05
0.0321186514432561,0.172490655327321,0.0779122801001337,0.0425568396145537,0.0240046637632454,0.0130653955625664,0.00699564486814581,0.0321188759796983,0.093307402866444,0.0218999704054454,0.00435462732000169,0.00105694837864119,0.000295945546019532,0.000126833805436942,0.0321186514432561,0.181331549013048,0.0847775175644028,0.0471395115423218,0.0267648042823687,0.0143526262964202,0.00739377718300435,0.0321198580624481,0.0896009131303249,0.0307366189719131,0.010639598874893,0.00375035669153316,0.00101911866617749,0.000326117973176797,0.0321188759796983,0.0974772354082699,0.0301164352888491,0.00798626660695626,0.00179131213613972,0.000485147036871175,0.000223914017017465
0.0339538169127384,0.183429923528,0.0861424505332465,0.0489695140770207,0.0283940879942389,0.0156030314461095,0.00867597133157299,0.0339540655817084,0.0983807550839217,0.0246057582547668,0.00511563015262335,0.00126833805436942,0.00033822348116518,0.000126833805436942,0.0339538169127384,0.19220475075276,0.0934426229508197,0.0540983606557377,0.031615925058548,0.0172298427567748,0.00933422549347608,0.0339551532168461,0.0896009131303249,0.0344054461701521,0.0119440707676002,0.00407647466470996,0.00122294239941299,0.000366882719823896,0.0339540655817084,0.103224361845052,0.0336617405582923,0.00981489774593223,0.00238841618151963,0.000746380056724884,0.000335871025526198
0.035893838350608,0.194094852714242,0.0940296971983128,0.0554850656699016,0.0327492198484277,0.0185864682281129,0.0106992215630465,0.0358941131768018,0.103961442523147,0.0280302710015643,0.00608802266097324,0.00152200566524331,0.00050733522174777,0.000126833805436942,0.035893838350608,0.203044496487119,0.101706256273001,0.0612244897959184,0.0363666778186685,0.0203077952492472,0.0116092338574774,0.0358953152201949,0.109127226774286,0.0384411560882149,0.0145530145530146,0.00542171130406425,0.00171211935917818,0.000489176959765195,0.0358941131768018,0.109307359307359,0.0375429168532617,0.0113822958650545,0.00317211524108076,0.000932975070906105,0.000410509031198686
0.0379447069191277,0.205445629436576,0.102122698124207,0.0626178800452659,0.0383388772675834,0.0227701381982785,0.013579781214636,0.0379450100798277,0.109288462351499,0.0309051705914683,0.00735636071534266,0.00190250708155414,0.000634169027184712,0.000126833805436942,0.0379447069191277,0.214519906323185,0.110070257611241,0.0688190030110405,0.0424556707929073,0.0249916359986618,0.0147206423553028,0.0379463360547555,0.109127226774286,0.0434959846724553,0.0173250173250173,0.00648159471688883,0.00199747258570788,0.000570706453059394,0.0379450100798277,0.115315718763995,0.0420585161964472,0.0130989699955217,0.00399313330347813,0.00111957008508733,0.000485147036871175
0.0401127560979866,0.217756592709441,0.111930317890333,0.0701279105654813,0.044785844106855,0.0276053633277322,0.0165289256198347,0.0401130899338887,0.115291929142181,0.0343719612734114,0.00913203399145986,0.00245212023844755,0.000761002832621655,0.000295945546019532,0.0401127560979866,0.226798260287722,0.119973235195718,0.0767815322850452,0.049581799933088,0.0304115088658414,0.01796587487454,0.0401145500783994,0.109127226774286,0.0463902816843993,0.0195263136439607,0.00803065508947862,0.00309812074517957,0.000815294932941992,0.0401130899338887,0.121697268248992,0.0460516494999254,0.0155247051798776,0.00496342737722048,0.00156739811912226,0.000522466039707419
