"C.m_SCL_cases.eps","C.m_SCL_cases.m1","C.m_SCL_cases.m2","C.m_SCL_cases.m3","C.m_CL_cases.eps","C.m_CL_cases.m1","C.m_CL_cases.m2","C.m_CL_cases.m3","C.m_SCL_cases_icovid.eps","C.m_SCL_cases_icovid.m1","C.m_SCL_cases_icovid.m2","C.m_SCL_cases_icovid.m3","C.m_SCL_deaths.eps","C.m_SCL_deaths.m1","C.m_SCL_deaths.m2","C.m_SCL_deaths.m3","C.m_CL_deaths.eps","C.m_CL_deaths.m1","C.m_CL_deaths.m2","C.m_CL_deaths.m3","C.m_CL_deaths.m4"
0.0298421341688856,0.176309483053749,0.0806075129936821,0.0463415393233949,0.0298423427905536,0.0975577116092339,0.0210772833723653,0.00434928069588491,0.0298421341688856,0.184551313229572,0.0867582684824903,0.0500668774319066,0.0298432552648906,0.0965848648252082,0.0315102160595723,0.00906056270863138,0.0307669179119155,0.0985293125548135,0.0296161370842609,0.00789313904068002,0.00226000134925454
0.031436980465137,0.185864118763811,0.0886371417011609,0.0515390121689334,0.031437210701448,0.103011040481766,0.0232184677149548,0.00508531281365005,0.031436980465137,0.194157344357977,0.0953003404669261,0.0556602626459144,0.0314382177153182,0.0965848648252082,0.0340046219874546,0.0111881442353545,0.0324583237474818,0.104600957970721,0.0329892734264319,0.00920866221412669,0.00259731498347163
0.0331170597643053,0.196912638884566,0.0962621767140767,0.0575767949954872,0.0331173133297054,0.108397457343593,0.0257945801271328,0.00572097691535631,0.0331170597643053,0.205374513618677,0.103143239299611,0.0620744163424125,0.033118422381975,0.0965848648252082,0.0355086020322072,0.0127654891603389,0.0342427143177809,0.110335289752412,0.0366659920393982,0.0111988126560076,0.00313701679821898
0.0348869271541149,0.207898913821543,0.104696399116118,0.0646105007625035,0.0348872058845655,0.114854466376715,0.0291736366677819,0.00675811308129809,0.0348869271541149,0.216348492217899,0.111806906614786,0.0698565175097276,0.0348884250056096,0.117457173251165,0.0398004475257694,0.0145262462859029,0.0361252014420532,0.115968427443837,0.0403764420157863,0.012885380827093,0.00408149497402685
0.0367513811587934,0.218449472472067,0.112196943761476,0.0717064517132987,0.0367516870198628,0.120040147206424,0.0327199732351957,0.00762796922047507,0.0367513811587934,0.227018482490272,0.119680204280156,0.0774562256809339,0.036753024806958,0.117457173251165,0.0450093540222296,0.0167638751329738,0.0381111779608916,0.122444849220806,0.0448289819874519,0.0145044862713351,0.0049585104229913
0.0387154767489919,0.229466870000934,0.120973514674302,0.0791136285829884,0.0387158118444651,0.126196052191368,0.0358313817330211,0.00906657745065239,0.0387154767489919,0.238144455252918,0.128708657587549,0.0852687256809339,0.0387172774994482,0.117457173251165,0.050951909321008,0.0211290855067679,0.0402063331853411,0.12844903190987,0.0492140592322742,0.0169331444376982,0.00593671996222087
0.0407845390469931,0.241729171205378,0.132239892938284,0.0874856058012511,0.0407849056280305,0.132519237203078,0.0390097022415524,0.0105051856808297,0.0407845390469931,0.250395184824903,0.140077821011673,0.0939931906614786,0.0407865089973624,0.13788929239573,0.0562708631378159,0.0235868089945343,0.0424166691953081,0.136375902313972,0.0532280914794576,0.0196316535114349,0.00684746677460703
0.0429641777643618,0.254551679063832,0.142883819364477,0.0963244218978557,0.0429645782392437,0.140515222482436,0.0431917029106725,0.0121779859484778,0.0429641777643618,0.263284289883268,0.15108219844358,0.103295233463035,0.0429663298566288,0.13788929239573,0.061076262793001,0.0265947690840395,0.0447485180339739,0.144707549079134,0.0579842137219186,0.0226337448559671,0.0081629899480537
0.0452603024111847,0.26662724471694,0.153714481342006,0.104634153932339,0.0452607393556751,0.148979591836735,0.0486450317832051,0.0144529943124791,0.0452603024111847,0.275322227626459,0.16229936770428,0.112171692607004,0.0452626504873956,0.13788929239573,0.0665786288103885,0.0308866145776017,0.0472085598474665,0.153072927207718,0.0639209336841395,0.0260743439249814,0.00961343857518721
0.0476791383181338,0.279605365534842,0.166132395505898,0.11372195076406,0.0476796144865034,0.156674473067916,0.0527935764469722,0.0166945466711275,0.0476791383181338,0.28812013618677,0.174671692607004,0.121747324902724,0.0476816971796362,0.157037526136239,0.0748688602765856,0.0339312571072228,0.049803842021758,0.16140457397288,0.0698239222829387,0.0295149429939958,0.0112325440194293
