areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
overview,United Kingdom,K02000001,2020-10-07,102,42806
overview,United Kingdom,K02000001,2020-10-06,69,42704
overview,United Kingdom,K02000001,2020-10-05,70,42635
overview,United Kingdom,K02000001,2020-10-04,60,42565
overview,United Kingdom,K02000001,2020-10-03,66,42505
overview,United Kingdom,K02000001,2020-10-02,68,42439
overview,United Kingdom,K02000001,2020-10-01,66,42371
overview,United Kingdom,K02000001,2020-09-30,57,42305
overview,United Kingdom,K02000001,2020-09-29,48,42248
overview,United Kingdom,K02000001,2020-09-28,54,42200
overview,United Kingdom,K02000001,2020-09-27,47,42146
overview,United Kingdom,K02000001,2020-09-26,39,42099
overview,United Kingdom,K02000001,2020-09-25,32,42060
overview,United Kingdom,K02000001,2020-09-24,35,42028
overview,United Kingdom,K02000001,2020-09-23,56,41993
overview,United Kingdom,K02000001,2020-09-22,39,41937
overview,United Kingdom,K02000001,2020-09-21,27,41898
overview,United Kingdom,K02000001,2020-09-20,31,41871
overview,United Kingdom,K02000001,2020-09-19,20,41840
overview,United Kingdom,K02000001,2020-09-18,23,41820
overview,United Kingdom,K02000001,2020-09-17,27,41797
overview,United Kingdom,K02000001,2020-09-16,26,41770
overview,United Kingdom,K02000001,2020-09-15,18,41744
overview,United Kingdom,K02000001,2020-09-14,21,41726
overview,United Kingdom,K02000001,2020-09-13,16,41705
overview,United Kingdom,K02000001,2020-09-12,18,41689
overview,United Kingdom,K02000001,2020-09-11,13,41671
overview,United Kingdom,K02000001,2020-09-10,13,41658
overview,United Kingdom,K02000001,2020-09-09,9,41645
overview,United Kingdom,K02000001,2020-09-08,9,41636
overview,United Kingdom,K02000001,2020-09-07,15,41627
overview,United Kingdom,K02000001,2020-09-06,8,41612
overview,United Kingdom,K02000001,2020-09-05,13,41604
overview,United Kingdom,K02000001,2020-09-04,7,41591
overview,United Kingdom,K02000001,2020-09-03,10,41584
overview,United Kingdom,K02000001,2020-09-02,9,41574
overview,United Kingdom,K02000001,2020-09-01,3,41565
overview,United Kingdom,K02000001,2020-08-31,9,41562
overview,United Kingdom,K02000001,2020-08-30,6,41553
overview,United Kingdom,K02000001,2020-08-29,5,41547
overview,United Kingdom,K02000001,2020-08-28,10,41542
overview,United Kingdom,K02000001,2020-08-27,8,41532
overview,United Kingdom,K02000001,2020-08-26,11,41524
overview,United Kingdom,K02000001,2020-08-25,12,41513
overview,United Kingdom,K02000001,2020-08-24,6,41501
overview,United Kingdom,K02000001,2020-08-23,14,41495
overview,United Kingdom,K02000001,2020-08-22,8,41481
overview,United Kingdom,K02000001,2020-08-21,7,41473
overview,United Kingdom,K02000001,2020-08-20,8,41466
overview,United Kingdom,K02000001,2020-08-19,3,41458
overview,United Kingdom,K02000001,2020-08-18,9,41455
overview,United Kingdom,K02000001,2020-08-17,12,41446
overview,United Kingdom,K02000001,2020-08-16,4,41434
overview,United Kingdom,K02000001,2020-08-15,12,41430
overview,United Kingdom,K02000001,2020-08-14,7,41418
overview,United Kingdom,K02000001,2020-08-13,9,41411
overview,United Kingdom,K02000001,2020-08-12,7,41402
overview,United Kingdom,K02000001,2020-08-11,10,41395
overview,United Kingdom,K02000001,2020-08-10,13,41385
overview,United Kingdom,K02000001,2020-08-09,8,41372
overview,United Kingdom,K02000001,2020-08-08,14,41364
overview,United Kingdom,K02000001,2020-08-07,12,41350
overview,United Kingdom,K02000001,2020-08-06,9,41338
overview,United Kingdom,K02000001,2020-08-05,6,41329
overview,United Kingdom,K02000001,2020-08-04,14,41323
overview,United Kingdom,K02000001,2020-08-03,15,41309
overview,United Kingdom,K02000001,2020-08-02,10,41294
overview,United Kingdom,K02000001,2020-08-01,11,41284
overview,United Kingdom,K02000001,2020-07-31,14,41273
overview,United Kingdom,K02000001,2020-07-30,10,41259
overview,United Kingdom,K02000001,2020-07-29,12,41249
overview,United Kingdom,K02000001,2020-07-28,12,41237
overview,United Kingdom,K02000001,2020-07-27,11,41225
overview,United Kingdom,K02000001,2020-07-26,16,41214
overview,United Kingdom,K02000001,2020-07-25,15,41198
overview,United Kingdom,K02000001,2020-07-24,7,41183
overview,United Kingdom,K02000001,2020-07-23,16,41176
overview,United Kingdom,K02000001,2020-07-22,17,41160
overview,United Kingdom,K02000001,2020-07-21,20,41143
overview,United Kingdom,K02000001,2020-07-20,12,41123
overview,United Kingdom,K02000001,2020-07-19,14,41111
overview,United Kingdom,K02000001,2020-07-18,14,41097
overview,United Kingdom,K02000001,2020-07-17,18,41083
overview,United Kingdom,K02000001,2020-07-16,13,41065
overview,United Kingdom,K02000001,2020-07-15,20,41052
overview,United Kingdom,K02000001,2020-07-14,21,41032
overview,United Kingdom,K02000001,2020-07-13,24,41011
overview,United Kingdom,K02000001,2020-07-12,13,40987
overview,United Kingdom,K02000001,2020-07-11,22,40974
overview,United Kingdom,K02000001,2020-07-10,21,40952
overview,United Kingdom,K02000001,2020-07-09,37,40931
overview,United Kingdom,K02000001,2020-07-08,24,40894
overview,United Kingdom,K02000001,2020-07-07,27,40870
overview,United Kingdom,K02000001,2020-07-06,35,40843
overview,United Kingdom,K02000001,2020-07-05,27,40808
overview,United Kingdom,K02000001,2020-07-04,33,40781
overview,United Kingdom,K02000001,2020-07-03,29,40748
overview,United Kingdom,K02000001,2020-07-02,43,40719
overview,United Kingdom,K02000001,2020-07-01,27,40676
overview,United Kingdom,K02000001,2020-06-30,47,40649
overview,United Kingdom,K02000001,2020-06-29,39,40602
overview,United Kingdom,K02000001,2020-06-28,44,40563
overview,United Kingdom,K02000001,2020-06-27,49,40519
overview,United Kingdom,K02000001,2020-06-26,41,40470
overview,United Kingdom,K02000001,2020-06-25,68,40429
overview,United Kingdom,K02000001,2020-06-24,75,40361
overview,United Kingdom,K02000001,2020-06-23,64,40286
overview,United Kingdom,K02000001,2020-06-22,64,40222
overview,United Kingdom,K02000001,2020-06-21,54,40158
overview,United Kingdom,K02000001,2020-06-20,60,40104
overview,United Kingdom,K02000001,2020-06-19,52,40044
overview,United Kingdom,K02000001,2020-06-18,61,39992
overview,United Kingdom,K02000001,2020-06-17,58,39931
overview,United Kingdom,K02000001,2020-06-16,84,39873
overview,United Kingdom,K02000001,2020-06-15,70,39789
overview,United Kingdom,K02000001,2020-06-14,87,39719
overview,United Kingdom,K02000001,2020-06-13,63,39632
overview,United Kingdom,K02000001,2020-06-12,79,39569
overview,United Kingdom,K02000001,2020-06-11,80,39490
overview,United Kingdom,K02000001,2020-06-10,109,39410
overview,United Kingdom,K02000001,2020-06-09,90,39301
overview,United Kingdom,K02000001,2020-06-08,123,39211
overview,United Kingdom,K02000001,2020-06-07,127,39088
overview,United Kingdom,K02000001,2020-06-06,111,38961
overview,United Kingdom,K02000001,2020-06-05,122,38850
overview,United Kingdom,K02000001,2020-06-04,134,38728
overview,United Kingdom,K02000001,2020-06-03,155,38594
overview,United Kingdom,K02000001,2020-06-02,169,38439
overview,United Kingdom,K02000001,2020-06-01,135,38270
overview,United Kingdom,K02000001,2020-05-31,126,38135
overview,United Kingdom,K02000001,2020-05-30,163,38009
overview,United Kingdom,K02000001,2020-05-29,186,37846
overview,United Kingdom,K02000001,2020-05-28,217,37660
overview,United Kingdom,K02000001,2020-05-27,197,37443
overview,United Kingdom,K02000001,2020-05-26,212,37246
overview,United Kingdom,K02000001,2020-05-25,201,37034
overview,United Kingdom,K02000001,2020-05-24,195,36833
overview,United Kingdom,K02000001,2020-05-23,216,36638
overview,United Kingdom,K02000001,2020-05-22,222,36422
overview,United Kingdom,K02000001,2020-05-21,237,36200
overview,United Kingdom,K02000001,2020-05-20,267,35963
overview,United Kingdom,K02000001,2020-05-19,275,35696
overview,United Kingdom,K02000001,2020-05-18,293,35421
overview,United Kingdom,K02000001,2020-05-17,266,35128
overview,United Kingdom,K02000001,2020-05-16,313,34862
overview,United Kingdom,K02000001,2020-05-15,312,34549
overview,United Kingdom,K02000001,2020-05-14,333,34237
overview,United Kingdom,K02000001,2020-05-13,316,33904
overview,United Kingdom,K02000001,2020-05-12,320,33588
overview,United Kingdom,K02000001,2020-05-11,308,33268
overview,United Kingdom,K02000001,2020-05-10,347,32960
overview,United Kingdom,K02000001,2020-05-09,378,32613
overview,United Kingdom,K02000001,2020-05-08,381,32235
overview,United Kingdom,K02000001,2020-05-07,460,31854
overview,United Kingdom,K02000001,2020-05-06,461,31394
overview,United Kingdom,K02000001,2020-05-05,463,30933
overview,United Kingdom,K02000001,2020-05-04,483,30470
overview,United Kingdom,K02000001,2020-05-03,448,29987
overview,United Kingdom,K02000001,2020-05-02,493,29539
overview,United Kingdom,K02000001,2020-05-01,567,29046
overview,United Kingdom,K02000001,2020-04-30,549,28479
overview,United Kingdom,K02000001,2020-04-29,569,27930
overview,United Kingdom,K02000001,2020-04-28,560,27361
overview,United Kingdom,K02000001,2020-04-27,595,26801
overview,United Kingdom,K02000001,2020-04-26,633,26206
overview,United Kingdom,K02000001,2020-04-25,645,25573
overview,United Kingdom,K02000001,2020-04-24,682,24928
overview,United Kingdom,K02000001,2020-04-23,674,24246
overview,United Kingdom,K02000001,2020-04-22,728,23572
overview,United Kingdom,K02000001,2020-04-21,742,22844
overview,United Kingdom,K02000001,2020-04-20,782,22102
overview,United Kingdom,K02000001,2020-04-19,763,21320
overview,United Kingdom,K02000001,2020-04-18,799,20557
overview,United Kingdom,K02000001,2020-04-17,819,19758
overview,United Kingdom,K02000001,2020-04-16,838,18939
overview,United Kingdom,K02000001,2020-04-15,879,18101
overview,United Kingdom,K02000001,2020-04-14,859,17222
overview,United Kingdom,K02000001,2020-04-13,893,16363
overview,United Kingdom,K02000001,2020-04-12,957,15470
overview,United Kingdom,K02000001,2020-04-11,956,14513
overview,United Kingdom,K02000001,2020-04-10,941,13557
overview,United Kingdom,K02000001,2020-04-09,998,12616
overview,United Kingdom,K02000001,2020-04-08,1072,11618
overview,United Kingdom,K02000001,2020-04-07,999,10546
overview,United Kingdom,K02000001,2020-04-06,892,9547
overview,United Kingdom,K02000001,2020-04-05,914,8655
overview,United Kingdom,K02000001,2020-04-04,904,7741
overview,United Kingdom,K02000001,2020-04-03,839,6837
overview,United Kingdom,K02000001,2020-04-02,805,5998
overview,United Kingdom,K02000001,2020-04-01,767,5193
overview,United Kingdom,K02000001,2020-03-31,661,4426
overview,United Kingdom,K02000001,2020-03-30,585,3765
overview,United Kingdom,K02000001,2020-03-29,507,3180
overview,United Kingdom,K02000001,2020-03-28,436,2673
overview,United Kingdom,K02000001,2020-03-27,399,2237
overview,United Kingdom,K02000001,2020-03-26,360,1838
overview,United Kingdom,K02000001,2020-03-25,302,1478
overview,United Kingdom,K02000001,2020-03-24,237,1176
overview,United Kingdom,K02000001,2020-03-23,186,939
overview,United Kingdom,K02000001,2020-03-22,165,753
overview,United Kingdom,K02000001,2020-03-21,131,588
overview,United Kingdom,K02000001,2020-03-20,109,457
overview,United Kingdom,K02000001,2020-03-19,74,348
overview,United Kingdom,K02000001,2020-03-18,68,274
overview,United Kingdom,K02000001,2020-03-17,52,206
overview,United Kingdom,K02000001,2020-03-16,46,154
overview,United Kingdom,K02000001,2020-03-15,32,108
overview,United Kingdom,K02000001,2020-03-14,22,76
overview,United Kingdom,K02000001,2020-03-13,16,54
overview,United Kingdom,K02000001,2020-03-12,13,38
overview,United Kingdom,K02000001,2020-03-11,8,25
overview,United Kingdom,K02000001,2020-03-10,3,17
overview,United Kingdom,K02000001,2020-03-09,5,14
overview,United Kingdom,K02000001,2020-03-08,3,9
overview,United Kingdom,K02000001,2020-03-07,0,6
overview,United Kingdom,K02000001,2020-03-06,0,6
overview,United Kingdom,K02000001,2020-03-05,3,6
overview,United Kingdom,K02000001,2020-03-04,0,3
overview,United Kingdom,K02000001,2020-03-03,2,3
overview,United Kingdom,K02000001,2020-03-02,1,1
overview,United Kingdom,K02000001,2020-03-01,0,
overview,United Kingdom,K02000001,2020-02-29,0,
